id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
82,Acxiom Deutschland GmbH,Martin-Behaim-Str. 12,63263,Neu-Isenburg,datenschutz@acxiom.com,http://www.acxiom.de/,http://www.acxiom.de/about_us/AcxiomDeutschland/Pages/AcxiomDeutschland.aspx,061027363,"(23.07.2013) Auf Wunsch d. Datenschutzbeauftragten hinzugefügt:
""Sehr geehrte Verbraucher,

wir möchten Sie darüber informieren, dass wir bei Anfragen die über Selbstauskunft.net an uns herangetragen werden ausschließlich Positivauskünfte erteilen. Wenn Ihre Adresse nicht in unserem Datenbestand gespeichert ist, erhalten Sie daher kein Antwortschreiben von uns. Generell empfehlen wir allen Verbrauchern die keine unerwünschte personalisierte Werbung erhalten möchten, sich auf der Robinsonliste des DDV  zu registrieren. Selbstverständlich ist es allen Verbrauchern freigestellt, sich mit ihrer Anfragen auch direkt an uns zu wenden. Diese Anfragen werden mit Priorität beantwortet.

Vielen Dank für Ihr Verständnis.

Ihr Datenschutz-Team von Acxiom Deutschland""

Acxiom bietet Informationen zur Segmentierung und Profilierung für über 37 Millionen Haushalte in Deutschland. Unseren Kunden stehen mehr als 250 mikrogeographische Einzelmerkmale zur Verfügung, die aus amtlichen Daten und Marktforschungsergebnissen abgeleitet und in den Raum projiziert werden. Das Ergebnis sind die Zielgruppensegmentierung Personicx™, in der Räume nach ihrer Einwohnerstruktur beschrieben werden, sowie die mikrogeographische Datensuite MIKROTYP®, die aus zahlreichen soziodemografischen, sozioökonomischen und soziopsychischen Kriterien sowie Verbrauchertypologien und Branchenscores besteht.",approved,2010-05-11T02:01:17.000+02:00,2013-07-23T11:01:38.000+02:00,fax,Adresshändler,,2010-05-11T02:01:17.000+02:00,bdsg34,,,,,[5]
741,"Arnold, Demmerer & Partner GmbH",Mittlerer Pfad 26,70499,Stuttgart,post@arnold-demmerer.de,http://www.zielgruppenmarketing.de,http://www.zielgruppenmarketing.de/kontakt.html,0711887130,"26.03.2012 Deaktiviert auf Grund folgender Stellungnahme:

""[...] Die Arnold, Demmerer & Partner GmbH speichert und verarbeitet keine eigenen personenbezogenen Daten. [...]""",blocked,2012-03-09T18:48:24.000+01:00,2012-03-26T12:16:41.000+02:00,,Adresshändler,arnold-demmerer-und-partner,2012-03-16T17:46:49.000+01:00,bdsg34,,,,,[5]
66,AZ Direct GmbH,Carl-Bertelsmann-Straße 161 S,33311,Gütersloh,az.datenschutz@bertelsmann.de,http://www.az-direct.com/,http://www.az-direct.com/site/de/meta/about.html,05241805438,"""Über 40 Millionen Privatadressen und mehr als 3 Millionen bonitätsgeprüfte Firmenadressen stehen für Ihre Neukundengewinnung zur Auswahl. Profitieren Sie von mehr als 200 Merkmalen zur Eingrenzung Ihrer Wunsch-Zielgruppe.""
http://www.az-direct.com/site/de/adressen.html",approved,2010-04-27T01:04:18.000+02:00,2013-06-10T12:43:06.000+02:00,fax,Adresshändler,,2010-04-27T01:04:18.000+02:00,bdsg34,,,,,[5]
67,Deutsche Post Adress GmbH & Co. KG,Am Anger 33,33332,Gütersloh,,http://www.deutschepost.de/dpag?xmlFile=link1015294_1007948,http://www.deutschepost.de/dpag?tab=1&skin=hi&check=yes&lang=de_DE&xmlFile=link1015294_1007951,0524153930,"Gemeinschaftsunternehmen der Deutschen Post und Bertelsmann. Auch ein Adresshändler, der sich vor allem darauf spezialisiert hat, nach Umzügen die Datenbestände anderer Adresshändler auf den aktuellen Stand zu bringen.

11.01.2012 deaktiviert, weil nach Angabe des Unternehmens nur Personen mit Nachsendeantrag betroffen sind.
12.04.2013 aufgrund des Erhalts eines BigBrother-Awards reaktiviert",approved,2010-04-27T01:35:51.000+02:00,2013-04-15T10:34:57.000+02:00,fax,Adresshändler,deutsche-post-adress,2013-04-12T19:03:35.000+02:00,bdsg34,,,,,[5]
81,Deutsche Post Direkt GmbH ,Junkersring 57,53844,Troisdorf,info@postdirekt.de,http://www.deutschepost.de/dpag?tab=1&skin=hi&check=yes&lang=de_DE&xmlFile=link1015302_1008014,http://www.deutschepost.de/dpag?tab=1&skin=hi&check=yes&lang=de_DE&xmlFile=link1015302_1008019,0224126610,"Haushaltsadressen zur Miete: ""37 Mio. Qualitätsadressen aus der Vermietdatenbank. Mehr als 1 Mrd. Merkmale für die Zielgruppenselektion.""
http://www.deutschepost.de/dpag?tab=1&skin=hi&check=yes&lang=de_DE&xmlFile=link1015302_1021492

28.02.2012 Faxnummer aktualisiert
20.03.2013 Wechsel des Faxservers aufgrund von Verbindungsproblemen
26.01.2015 Anschrift lt. Schreiben aktualisiert
04.11.2015: aktualisiert, da Faxnummer inzw. anderweitig vergeben",approved,2010-05-10T12:31:47.000+02:00,2015-11-04T10:19:44.000+01:00,fax,Adresshändler,,2010-05-10T12:31:47.000+02:00,bdsg34,,,,,[5]
141,Dialoghaus GmbH,Hardt 22,40764,Langenfeld,,http://www.dialoghaus.com/,http://www.dialoghaus.com/de/Impressum/Impressum,0217384830,"""Die Dialoghaus Haushaltsdatenbank Ubiquidata liefert mit insgesamt mehr als 20 Mio. Haushaltsadressen [..]. Die Adressen sind nach über 100 verschiedenen Merkmalen selektierbar.""
http://www.dialoghaus.com/de/Haushaltsadressen/Haushaltsadressen-zielgruppengenau-und-marktabdeckend
30.11.2012: gemäß postalischem Schreiben vom 27.11.2012 (Herrn Jürgen Grundmann) deaktiviert",blocked,2011-08-26T01:43:07.000+02:00,2012-11-30T14:26:10.000+01:00,,Adresshändler,,2011-08-26T01:43:07.000+02:00,bdsg34,,,,,[5]
744,Direkta Gesellschaft für Marketing GmbH,Hoyendonk 12,47638,Straelen,,,,0208432103,"Die Direkta Gesellschaft für Marketing GmbH stellt ihre Daten u.a. der AZ DIRECT GmbH und der GEZ zur Verfügung.

http://www.sueddeutsche.de/wirtschaft/unserioeser-werbemethoden-dem-glueck-auf-der-spur-1.411614-3

08.08.2013: Vorerst deaktiviert, weil das Unternehmen angibt lediglich zu ""vermitteln""",blocked,2012-03-10T13:19:36.000+01:00,2013-08-09T03:19:05.000+02:00,,Adresshändler,direkta,2013-07-23T11:48:36.000+02:00,bdsg34,,,,,[5]
160,eGentic GmbH,Oberliederbacher Weg 25,65843,Sulzbach/Ts.,info@planet49.com,http://www.egentic.com/,http://www.egentic.com/impressum/,,"""Seit drei Jahren wandern die Adressdaten in sechs firmeneigene Callcenter und werden überprüft. 7,5 Millionen Adressen wurden bisher bei Planet49 eingegeben. Nicht jede Adresse stimmt. Nach dem Abgleich mit der Robinson-Liste bleiben immerhin noch 4 Millionen Adressen übrig. Das heißt, jeder zwanzigste Bundesbürger ist bei Planet49 angemeldet, in der Hoffnung auf Autos und Millionengewinne.""
http://marken-gewinnspiele.de/vorsicht-falle-bei-online-gewinnspielen/planet49-daten-sind-wertvoll/ (abgerufen am 25.02.2012)

Hieß bis zum 23.01.2012 ""planet49 GmbH""

02.03.2012 Faxe kommen nicht mehr an - Umstellung auf Postversand

25.04.2012 Aus der Liste der Empfohlenen Unternehmen entfernt, da nur Daten vorhanden sind, sofern diese über Double-Opt-In gesammelt wurden. Andernfalls sind keine Daten vorhanden.

22.03.2013 Faxe kommen teilweise durch",approved,2012-01-05T14:01:33.000+01:00,2013-06-14T08:05:33.000+02:00,fax,Adresshändler,egentic,2012-02-25T19:39:31.000+01:00,bdsg34,,,,,[5]
743,GECKO selections GmbH,Otto-Holst-Straße 11,21629,Neu Wulmstorf,office@gecko-selections.de,http://www.gecko-selections.de,http://www.gecko-selections.de/kontakt/,04168900745,19.03.2012 GECKO selections ist lediglich Adress-Broker und besitzt keine eigene Datenbank.,blocked,2012-03-09T19:03:14.000+01:00,2012-03-19T09:23:02.000+01:00,,Adresshändler,gecko-selections-gmbh,2012-03-16T17:32:04.000+01:00,bdsg34,,,,,[5]
62,GEMINI DIRECT marketing solutions GmbH,Black-und-Decker-Str. 17 C,65510,Idstein,,http://www.geminidirect.de/,http://www.geminidirect.de/de/welcome/feedback.html,061269519610,"
29.04.2009: Unternehmen will Ausweiskopie

22.03.2012 Deaktiviert, auf Basis der folgenden Stellungnahme:

""in Sachen GEMINI DIRECT marketing solutions GmbH bestätige ich Ihnen, dass das Unternehmen nach meiner Befragung keine eigene Datenbank betreibt, für die es verantwortliche Stelle im Sinne des BDSG wäre. Insofern ist es nicht befugt, Auskunftsanfragen zu beantworten. Es sei denn, ein Eigner von Daten beauftragt das Unternehmen damit, diese Antworten auch im Auftrag zu geben.""",blocked,2010-04-22T16:34:27.000+02:00,2012-03-22T11:45:30.000+01:00,,Adresshändler,,2010-04-22T16:34:27.000+02:00,bdsg34,,,,,[5]
