id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
7,accumio finance service GmbH,Kabelkamp 1a,30179,Hannover,,http://www.saf-solutions.de,,,"firmierte bis 31.12.2006 als SolvenTec GmbH

10.04.2012 Webadresse und E-Mail-Adresse aktualisiert
24.10.2012: Telefon, Telefax, und URL lt. Mail v. 30.09.2012 aktualisiert
03.03.2015: Unternehmensstand derzeit unbekannt, Webinhalte nicht erreichbar; daher vorl. deaktiviert",blocked,2010-04-08T18:01:10.000+02:00,2017-11-29T14:34:25.189+01:00,,Auskunfteien,,2010-04-08T18:01:10.000+02:00,bdsg34,,,,,[1]
4,Bürgel Wirtschaftsinformationen GmbH & Co. KG,Gasstraße 18,22761,Hamburg,info@buergel.de,,,040898030,"15.05.18 Umfirmiert, oder übernommen zu ""CRIF Bürgel GmbH""",blocked,2010-04-08T16:20:05.000+02:00,2018-05-15T10:00:53.656+02:00,,Auskunfteien,,2010-04-08T16:20:05.000+02:00,bdsg34,,,,,[1]
2,Creditreform Boniversum GmbH,Hellersbergstraße 11,41460,Neuss,selbstauskunft@boniversum.de,http://www.boniversum.de/,http://www.boniversum.de/kontakt/,02131109501,,approved,2010-04-08T16:20:05.000+02:00,2018-05-15T10:43:54.928+02:00,fax,Auskunfteien,creditreform,2010-04-08T16:20:05.000+02:00,bdsg34,,,,,[1]
3578,CRIF Bürgel GmbH,Kaiserstraße 217,76133,Karlsruhe,datenschutz.de@crif.com,https://www.crifbuergel.de,https://www.crifbuergel.de/de/kontakt/selbstauskunft,040898030,Identitäts- oder Bonitätsinformationen,approved,2018-04-02T02:03:54.936+02:00,2018-05-15T10:01:06.991+02:00,fax,Auskunfteien,buergel,2018-05-15T10:00:43.664+02:00,bdsg34,Abteilung Datenschutz,,,,[1]
1077,CS Connect GmbH & Co. KG,Alte Schmelze 11,65201,Wiesbaden,info@cs-connect.de,https://www.cs-connect.de/impressum.html,https://www.cs-connect.de/ueber-uns/datenuebersicht/datenuebersicht.html,061153269470,Schufa verwendet laut Auskunft Daten der CS Connect und empfiehlt dort ebenfalls anzufragen.,approved,2013-08-15T14:50:44.000+02:00,2018-05-15T10:55:00.310+02:00,fax,Auskunfteien,cs,2018-05-15T10:55:00.308+02:00,bdsg34,,,,,[1]
56,databyte GmbH,Seelandstr. 14-16,23569,Lübeck,kontakt@databyte.de,http://www.databyte.de/,http://www.databyte.de/kontakt_impressum.html,0451307740,"""Basis für die Auskünfte sind Daten aus öffentlichen Verzeichnissen, Informationen von Inkassounternehmen und Wirtschaftsauskunfteien sowie eigenen Recherchen. [...] Prüfen Sie sofort über das Internet die Bonität von Privatkunden.""
http://www.databyte.de/portfolio_online-module_bonitaetsauskunft.html

19.01.2012: Haben laut eigenen Angaben keine Datenbank über Privatpersonen, daher deaktiviert",blocked,2010-04-16T05:16:16.000+02:00,2012-02-22T17:13:12.000+01:00,,Empfohlen,,,bdsg34,,,,,[1]
89,datagate GmbH,Fraunhoferstraße 12a,82152,Martinsried bei München,customer.care@telegate.de,http://www.telegate.de/,http://www.onetoone.de/businessguide/datagate-GmbH-telegate-Data-Management-Services.html,039556099569,"Wir verfügen über 3 Mio. Firmenadressen und 37 Mio. Privatadressen. [...] Mailingspezialisten kaufen Firmenadressen bei uns zu und große Adressverlage reichern Ihre Bestände mit den tagesaktuellen Telefon- und Faxnummern an.

23.01.2012: Hat nach eigenen Auskünften keine Datenbank mit personenbezogenen Daten, es werden nur Datenverarbeitungen im Auftrag der Muttergesellschaft durchgeführt, die allerdings nicht personenbezogen sind. Daher erstmal deaktiviert.",blocked,2010-06-23T12:33:39.000+02:00,2012-02-22T17:13:13.000+01:00,,Empfohlen,,,bdsg34,,,,,[1]
5,Deltavista GmbH,Kaiserstraße 217,76133,Karlsruhe,datenschutz-de@deltavista.com,"https://www.deltavista.com/content/view/39/76/lang,ge/","https://www.deltavista.com/content/view/59/103/lang,ge/",072148699950,"Info vom 16. April 2010: ""Aufgrund der Vielzahl an Anfragen durch die Gesetzesnovelle zur Selbstauskunft dauert die Bearbeitung Ihrer Anfrage aktuell ca. 4 Wochen. Wir bitten Sie um Ihr Verständnis!""

2010-04-27: Ausweiskopie benötigt

01.03.2013: lt. Mail d. Datenschutzbeauftragten Telefonnummer aktualisiert
15.05.18: Domain offline",blocked,2010-04-08T16:20:05.000+02:00,2018-05-15T09:50:05.373+02:00,,Auskunfteien,,2010-04-08T16:20:05.000+02:00,bdsg34,,,,,[1]
71,Detektei Sindermann,Lanker Straße 28b,13125,Berlin,,http://www.auskunftei-genossenschaft.de/,http://www.auskunftei-genossenschaft.de/home/impressum.html,03094632450,"""allgemeine Geschäftsauskünfte mit Kreditwürdigkeitsbeurteilung, Anschriften- und Arbeitsstellenermittlungen, Kreditwürdigkeitsprüfungen, Leumunds- und Handelsauskünfte""
http://www.auskunftei-genossenschaft.de/home/auskunftei.htm

29.04.2010: Aus der Liste entfernt, da er höchstwahrscheinlich keine eigene Datenbank betreibt.",blocked,2010-04-29T17:43:04.000+02:00,2012-02-22T17:13:13.000+01:00,,Empfohlen,,,bdsg34,,,,,[1]
59,easycash GmbH,Am Gierath 20,40885,Ratingen,info@easycash.de,http://www.easycash.de/,http://www.easycash.de/impressum.html,021029730,"""Die Händlerweisungsdatei [...] ist mit über 2,7 Millionen Einträgen Deutschlands umfangreichste und aussagekräftigste Sperrdatei. [...] Über die HWD® können zusätzliche bonitätsschwache Käufer identifiziert werden.""

http://www.easycash.de/hwd.html

26.04.2010: Perso-Kennzeichen hinzugefügt
26.04.2010: EasyCash speichert Bonitäts-Informationen zusammen mit der Bankverbindung. Eine Auskunft ist daher nur möglich, wenn man die eigene Bankverbindung nachweist.",blocked,2010-04-17T12:43:01.000+02:00,2012-02-22T17:13:12.000+01:00,,Empfohlen,,,bdsg34,,,,,[1]
