id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
707,Bankhaus Max Flessa KG,Luitpoldstraße 2 - 6,97421,Schweinfurt ,info@flessabank.de,http://www.flessabank.de,http://www.flessabank.de/impressum.php,097215310,,approved,2012-03-03T21:51:56.000+01:00,2012-03-05T09:47:45.000+01:00,fax,Banken,bankhaus-max-flessa,2012-03-05T09:47:45.000+01:00,bdsg34,,,,,[9]
464,Berliner Sparkasse,Alexanderplatz 2,10178,Berlin,,http://www.berliner-sparkasse.de/,,030869801,,approved,2012-02-24T00:00:09.000+01:00,2013-05-08T09:57:20.000+02:00,manual,Banken,,2012-02-24T00:00:09.000+01:00,bdsg34,,,,,[9]
773,Berliner Volksbank eG,Budapester Straße 35,10892,Berlin,service@berliner-volksbank.de,http://www.berliner-volksbank.de,http://www.berliner-volksbank.de/service/impressum.html,03030630,,approved,2012-03-25T15:05:01.000+02:00,2012-03-29T23:56:29.000+02:00,fax,Banken,berliner-volksbank-eg,2012-03-29T23:56:29.000+02:00,bdsg34,,,,,[9]
456,Bezirkssparkasse Reichenau,Abt-Berno-Straße 1,78479,Reichenau,,http://www.spk-reichenau.de/,,075348000,"21.11.2012 lt. Tel. Auskunft des Datenschutzbeauftragten, wünscht dieses Unternehmen ab sofort eine postalische Zustellung mit eigenhändiger Unterschrift wg. der vielen ""Spassanfragen""; daher umgestellt auf postalische Zustellung.",approved,2012-02-24T00:00:08.000+01:00,2013-02-14T14:37:58.000+01:00,manual,Banken,,2012-02-24T00:00:08.000+01:00,bdsg34,,,,,[9]
558,Bordesholmer Sparkasse AG,Bahnhofstraße 43-47,24582,Bordesholm,,http://www.bordesholmer-sparkasse.de/,,04347711500,09.04.2013: lt. Mail d. Datenschutzbeauftragten umgestellt auf manual,approved,2012-02-24T00:00:15.000+01:00,2013-04-09T11:16:19.000+02:00,manual,Banken,,2012-02-24T00:00:15.000+01:00,bdsg34,,,,,[9]
588,Braunschweigische Landessparkasse,Friedrich-Wilhelm-Platz,38100,Braunschweig,,http://www.blsk.de/,,01802221919,,approved,2012-02-24T00:00:16.000+01:00,2012-02-24T00:00:16.000+01:00,fax,Banken,,2012-02-24T00:00:16.000+01:00,bdsg34,,,,,[9]
638,comdirect bank AG,Pascalkehre 15,25451,Quickborn,info@comdirect.de,http://www.comdirect.de/,http://www.comdirect.de/cms/service-kontakt-impressum.html,041067080,,approved,2012-02-25T13:46:27.000+01:00,2012-02-25T14:38:29.000+01:00,fax,Banken,comdirect-bank,2012-02-25T14:38:23.000+01:00,bdsg34,,,,,[9]
619,Commerzbank AG,-,60261,Frankfurt am Main,,https://www.commerzbank.de/,https://www.commerzbank.de/de/metanavigation/kontakt/kontakt.html,06913620,,approved,2012-02-24T00:46:07.000+01:00,2012-02-24T20:16:47.000+01:00,fax,Banken,commerzbank,2012-02-24T00:46:07.000+01:00,bdsg34,,,,,[9]
1419,Consorsbank,Bahnhofstraße 55,90402,Nürnberg,datenschutz@consorsbank.de,https://www.consorsbank.de/,https://www.consorsbank.de/ev/Transversal/Impressum,09113690,"ehemals Cortal Consors.

Die Consorsbank ist Teil der französischen Großbank BNP Paribas.",approved,2015-01-02T12:03:33.000+01:00,2015-02-04T14:43:54.000+01:00,fax,Banken,consorsbank,2015-02-04T14:43:54.000+01:00,bdsg34,,,,,[9]
624,"Credit Europe Bank N.V., Niederlassung Deutschland",Untermainkai 27 - 28,60329,Frankfurt am Main,info@crediteurope.de,http://www.crediteurope.de/,http://www.crediteurope.de/fb/sites/de/de/about/disclaimer/,0692562600,,approved,2012-02-24T10:51:03.000+01:00,2012-02-24T20:30:41.000+01:00,fax,Banken,credit-europe-bank,2012-02-24T20:30:41.000+01:00,bdsg34,,,,,[9]
