id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
11,ADF Allgemeine Datenbank für Forderungseinzug GmbH,Asternweg 2,35463,Fernwald,selbstauskunft@adf-inkasso.de,http://www.adf-inkasso.de/,http://www.adf-inkasso.de/inkasso/impressum.htm,641940140,"11.01.2012 deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar
01.03.2012 Faxnummer aktualisiert",approved,2010-04-09T04:15:46.000+02:00,2012-03-01T14:58:57.000+01:00,fax,Inkasso,,2010-04-09T04:15:46.000+02:00,bdsg34,,,,,[7]
49,Akkurat Inkasso Dienst GmbH,Laasener Str. 2 ,7545,Gera,info@akkurat-inkasso.de,http://www.akkurat-inkasso.de/,,365202060,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-15T13:49:54.000+02:00,2012-02-22T17:13:12.000+01:00,fax,Inkasso,,2010-04-15T13:49:54.000+02:00,bdsg34,,,,,[7]
28,Allgemeiner Debitoren- und Inkassodienst GmbH,Eduard-Pestel-Str. 7,49080,Osnabrück,selbstauskunft@adu-inkasso.de,http://www.inkassounternehmen.de/,http://www.inkassounternehmen.de/impressum.php,5418001832,"10.01.2012 Unternehmen aufgrund von Stellungnahme aus Verteiler genommen: ""Ferner ist die Einstufung unseres Unternehmens als Auskunftshändler nicht korrekt, wir sind als Inkassounternehmen registriert und ferner ist die Einstufung unseres Unternehmens als Auskunftshändler nicht korrekt, wir sind als Inkassounternehmen registriert und tätig und lediglich Vermittler im Rahmen einer geschlossenen Auftragsdatenverarbeitungsvereinbarung. Im Rahmen dieser Dienstleistung geben wir Anfragen ausschließlich an die Bürgel Wirtschaftsinformation GmbH & Co.KG weiter. Es werden in unserem Unternehmen keinerlei Daten der
angefragten Personen gespeichert, zumal dies im Zuge der Auftragsdatenverarbeitung nicht erlaubt ist. tätig und lediglich Vermittler im Rahmen einer geschlossenen Auftragsdatenverarbeitungsvereinbarung. Im Rahmen dieser Dienstleistung geben wir Anfragen ausschließlich an die Bürgel Wirtschaftsinformation GmbH & Co.KG weiter. Es werden in unserem Unternehmen keinerlei Daten der angefragten Personen gespeichert, zumal dies im Zuge der Auftragsdatenverarbeitung nicht erlaubt ist.""

22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T12:37:57.000+02:00,2012-02-22T17:13:11.000+01:00,fax,Inkasso,,2010-04-12T12:37:57.000+02:00,bdsg34,,,,,[7]
51,Allinkasso GmbH,Oberföhringer Straße 93,81925,München,brief.an@allinkasso.de,http://www.allinkasso.de/,http://www.allinkasso.de/impr/impr.html,8995722010,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-16T03:48:35.000+02:00,2013-02-19T14:38:37.000+01:00,fax,Inkasso,,2010-04-16T03:48:35.000+02:00,bdsg34,,,,,[7]
33,Ambitio Inkasso,Flemingstr. 18,36041,Fulda,info@ambitio-inkasso.de,http://www.ambitio-inkasso.de/,http://www.ambitio-inkasso.de/12.html,66186977475,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar
01.03.2012 Faxnummer aktualisiert
15.03.2012 Unternehmen deaktiviert, da Ende 2010 der Betrieb eingestellt wurde.",blocked,2010-04-12T12:51:54.000+02:00,2012-03-15T10:14:51.000+01:00,,Inkasso,,2010-04-12T12:51:54.000+02:00,bdsg34,,,,,[7]
134,atriga GmbH,Pittlerstr. 47,63225,Langen,info@atriga.com,http://www.atriga.de/,http://www.atriga.de/general/editorial.aspx?USI=MLVU21MWEPOHUBBKTUFCFIKWYED67T3B,610337460,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2011-07-05T16:00:20.000+02:00,2012-02-22T17:54:47.000+01:00,fax,Inkasso,atriga-gmbh,2011-07-05T16:00:20.000+02:00,bdsg34,,,,,[7]
23,Bremer-Inkasso GmbH,Norderoog 1,28259,Bremen,info@bremer-inkasso.de,http://www.bremer-inkasso.de/,http://www.bremer-inkasso.de/deutsch/impressum.html,421841060,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T12:18:38.000+02:00,2012-02-22T17:13:11.000+01:00,fax,Inkasso,,2010-04-12T12:18:38.000+02:00,bdsg34,,,,,[7]
22,CL Inkasso AG,Zeppelinstr. 2,88131,Lindau,info@cl-inkasso.de,http://www.cl-inkasso.de/,http://www.cl-inkasso.de/service/impressum.html,8382273080,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T12:16:29.000+02:00,2012-02-22T17:13:11.000+01:00,fax,Inkasso,,2010-04-12T12:16:29.000+02:00,bdsg34,,,,,[7]
735,Continental Inkasso GmbH,Adam-Opel-Str. 18,60386,Frankfurt,,,,6942091910,"11.02.2013: lt. Mail d. Datenschutzbeauftragten übernimmt die ""Universum Inkasso GmbH"" ab sofort den vollständigen Geschäftsbetrieb dieses Unternehmens",blocked,2012-03-08T18:20:52.000+01:00,2013-02-11T12:12:34.000+01:00,,Inkasso,continental-inkasso,2012-03-16T00:45:05.000+01:00,bdsg34,,,,,[7]
115,DI DEBIT-INFO GmbH,Max-Frankl-Str. 14,94522,Wallersdorf,kontakt@debit-info.de,http://www.debit-info.de/,http://www.debit-info.de/index.php/kontakt-impressum.html,9913608820,"""In unserer Datenbank sind wichtige Informationen von Debitoren, mit denen unsere angeschlossenen Kunden in Geschäftsbeziehung stehen.""
http://www.debit-info.de/ (abgerufen am 05.07.2011)",approved,2011-07-05T12:48:23.000+02:00,2012-10-23T16:32:10.000+02:00,fax,Inkasso,,2011-07-05T12:48:23.000+02:00,bdsg34,,,,,[7]
44,DI - Direkt Inkasso GmbH,Unterwanger Str. 3 ,87439,Kempten,info@di-inkasso.de,http://www.di-inkasso.de/,,8315909088100,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-15T12:52:50.000+02:00,2012-02-22T17:13:12.000+01:00,fax,Inkasso,,2010-04-15T12:52:50.000+02:00,bdsg34,,,,,[7]
123,diskont - DETEKTIVE & Inkasso Rüdiger Tabert KG,Ueckermünder Str. 49,17358,Torgelow,diskont.detektive@gmx.de,http://www.diskontdetektive.de/,http://www.diskontdetektive.de/index.php?option=com_content&task=view&id=8&Itemid=10,3976204140,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2011-07-05T14:48:22.000+02:00,2012-02-22T17:13:14.000+01:00,fax,Inkasso,,2011-07-05T14:48:22.000+02:00,bdsg34,,,,,[7]
654,Domnowski Inkasso GmbH,Limbecker Platz 1,45127,Essen,ingo@domnowski.de,http://www.domnowski.de,http://www.domnowski.de/kontakt.html,2017696212,"Impressum:
http://www.domnowski.de/impressum.html

gehört zur GFKL Financial Services AG - Gruppe",approved,2012-02-27T10:32:46.000+01:00,2012-03-03T13:40:57.000+01:00,fax,Inkasso,domnowski-inkasso,2012-03-03T13:40:57.000+01:00,bdsg34,,,,,[7]
47,Domnowski Inkasso GmbH,Am Pulverschoppen 8/17 ,59071,Hamm,info@domnowski.de,http://www.domnowski.de/,,23819024212,"Betreibt anscheinend keine eigenen Datenbanken: ""Die Grundlage dieses Systems bilden die Datenbestände führender deutscher Auskunfteien mit Bonitäts-, Zahlungs- und Adressinformationen."" (http://www.domnowski.de/payment-loesungen-payprotect.html)
11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar

War doppelt vorhanden:
https://selbstauskunft.net/admin/companies/654-domnowski-inkasso",blocked,2010-04-15T13:40:53.000+02:00,2013-05-28T14:18:48.000+02:00,,Inkasso,,2010-04-15T13:40:53.000+02:00,bdsg34,,,,,[7]
14,Dr. Duve Inkasso GmbH,Angerstr. 6,30161,Hannover,info@drduve-inkasso.de,http://www.drduve-inkasso.de/,http://www.drduve-inkasso.de/kontakt/adressen.html,511966220,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T11:53:01.000+02:00,2012-02-22T17:13:10.000+01:00,fax,Inkasso,,2010-04-12T11:53:01.000+02:00,bdsg34,,,,,[7]
15,el-Inkasso Gesellschaft für Forderungsmanagement mbH,Warmbüchenstr. 24,30159,Hannover,info@el-inkasso.de,http://www.el-inkasso.de/,http://www.el-inkasso.de/kontakt/fuer-interessenten.html,5113577230,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T11:56:19.000+02:00,2012-02-22T17:13:10.000+01:00,fax,Inkasso,,2010-04-12T11:56:19.000+02:00,bdsg34,,,,,[7]
74,EOS Deutscher Inkasso-Dienst GmbH,Steindamm 71,20099,Hamburg,,,,4028500,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar
01.03.2012 Faxnummer aktualisiert",approved,2010-04-30T17:34:58.000+02:00,2012-03-01T14:58:03.000+01:00,fax,Inkasso,,2010-04-30T17:34:58.000+02:00,bdsg34,,,,,[7]
63,EuroTreuhand Inkasso GmbH,Amsterdamer Straße 133 b,50735,Köln,datenschutz@eurotreuhandinkasso.de,http://www.euro-treuhand-inkasso.de/,,,"Kommentar für den Vorschlag war: ""Das Inkasso betreibt zusätzlich eine interne eigene Datenbank in der Merkmale aus den Inkassoverfahren eingepflegt werden."" Wir haben das Kennzeichen entfernt, weil jedes Inkasso eine interne Datenbanken pflegt und dies einen qualitativen Unterschied zu Schufa & Co darstellt.
11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-24T11:28:40.000+02:00,2012-02-22T17:13:12.000+01:00,fax,Inkasso,,2010-04-24T11:28:40.000+02:00,bdsg34,,,,,[7]
32,Factoring-Inkasso Dieckmann von Laar GmbH & Co. KG,Hindenburgstr. 8,45127,Essen,info@factoring-inkasso.de,http://www.factoring-inkasso.de/,http://www.factoring-inkasso.de/kontakt/index.php,201222200,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T12:50:03.000+02:00,2012-02-22T17:13:11.000+01:00,fax,Inkasso,,2010-04-12T12:50:03.000+02:00,bdsg34,,,,,[7]
42,GMI - Gesellschaft für Mahn- und Inkassowesen mbH,Corsikaskamp 12,49076,Osnabrück,info@gmi-service.de,http://www.gmi-service.de/,http://www.gmi-service.de/cms/front_content.php?idcat=15,541580530,"Vertragspartner der Schufa-Holding AG
11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-15T12:44:03.000+02:00,2012-02-22T17:13:12.000+01:00,fax,Inkasso,,2010-04-15T12:44:03.000+02:00,bdsg34,,,,,[7]
130,Gothia Deutschland GmbH,Wilhelm-Theodor-Römheld-Straße 26,55130,Mainz,info.de@gothiagroup.com,http://www.gothiagroup.com/de/,http://www.gothiagroup.com/de/kontakt,613190750,"""Geschäfte mit Konsumenten können Sie bei der Gothia je nach Zielgruppe mit Informationen von verschiedenen Partnerunternehmen absichern. [...] Die eine Auskunftei zeigt Ihnen sowohl harte Negativmerkmale als auch weiche Zahlungsstörungen ihrer Kunden auf. Die angefragte Adresse wird zudem gegen die Datenbank der Deutsche Post Adress GmbH geprüft. Enthält die Adresse Fehler, können Sie sofort reagieren. [...]
Die dritte Möglichkeit der B2C Prüfung liefert Ihnen verfügbare (ggfs. korrigierte und ergänzte) Namens- und Adressdaten der angefragten Privatperson aus der aktuellen Datenbank. Einen Scorewert inklusive eines Scoretextes, evtl. vorhandene Negativmerkmale und Verbindungen der Person zu Unternehmen werden ebenfalls aufgeführt.""
http://www.gothiagroup.com/de/unsere-dienstleistungen/bonitatsprufung (abgerufen am 07.07.2011)

Nicht mehr aktiv: https://twitter.com/Admonstrator/status/999947528652185602",out of business,2011-07-05T15:34:51.000+02:00,2012-02-22T17:13:14.000+01:00,fax,"Inkasso,Auskunftshändler",,2011-07-05T15:34:51.000+02:00,bdsg34,,,,,"[2, 7]"
111,Haldan-Inkasso,Moltkestr. 40,74072,Heilbronn,info@haldan-inkasso.de,http://www.haldan-inkasso.de/,http://www.haldan-inkasso.de/cms/index.php?option=com_contact&Itemid=46,7131203980,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2011-07-05T12:25:13.000+02:00,2012-02-22T17:13:14.000+01:00,fax,Inkasso,,2011-07-05T12:25:13.000+02:00,bdsg34,,,,,[7]
16,Hermann Bosch Inkasso und Beratung eK,Clara-Zetkin-Str. 108,99099,Erfurt,info@bosch-inkasso.de,http://www.bosch-inkasso.de/,http://www.bosch-inkasso.de/impressum.php,3612624180,"11.01.2012 Unternehmen deaktiviert, da nur Wiederverkäufer von Auskünften
22.02.2012 Unternehmen aktiviert, da über die Suche auswählbar",approved,2010-04-12T11:58:42.000+02:00,2012-02-22T17:13:10.000+01:00,fax,Inkasso,,2010-04-12T11:58:42.000+02:00,bdsg34,,,,,[7]
