id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
147,Aral Aktiengesellschaft (Aral Supercard),Wittener Straße 45,44789,Bochum,datens@de.bp.com,http://www.aral-supercard.de/,,,Punkte und Daten sammeln beim Tanken und Shoppen bei Aral-Tankstellen,blocked,2011-08-30T11:56:48.000+02:00,2012-02-22T17:13:14.000+01:00,,Kundenkarten,,,bdsg34,,,,,[4]
140,CAP Customer Advantage Program GmbH (HappyPoints),Charlottenstraße 61,40210,Düsseldorf,service.center@happypoints.net,https://www.happypoints.net/,http://www.customer-advantage.de/impressum.htm,0211635597390,"Betrieb das Bonusprogramm ""HappyPoints"", vormals ""HappyDigits"". Zum 30. November 2009 sind alle Partner aus dem Bonusprogramm ausgestiegen. Es können noch gesammelte Punkte eingelöst werden. Scoring und Adressanalysen werden laut des Anbieters nicht mehr durchgeführt, es gibt auch keine Weitergabe mehr von Daten an Dritte.",blocked,2011-08-19T16:02:22.000+02:00,2012-02-22T17:13:14.000+01:00,,Kundenkarten,,,bdsg34,,,,,[4]
150,DB Vertrieb GmbH (BahnCard),Wolframstraße 20,70191,Stuttgart,,http://www.bahn.de/,http://www.bahn.de/p/view/home/info/schutz.shtml,01806996633,"19.01.2012 Faxzustellung unterbrochen - wer kennt eine gültige Faxnummer?
28.02.2012 neue Faxnummer
24.06.2015: lt. Mail Kontaktdaten aktualisiert",approved,2011-09-03T15:57:13.000+02:00,2015-06-24T14:40:35.000+02:00,fax,Kundenkarten,deutsche-bahn,2011-09-03T15:57:13.000+02:00,bdsg34,,,,,[4]
3285,Deutsche Lufthansa AG,Airportring,60546,Frankfurt/Main,datenauskunft@dlh.de,https://www.lufthansa.com/online/portal/lh/de/homepage,https://www.lufthansa.com/de/de/Hilfe-und-Kontakt?displayAll=true&contactChannelIndex=0&sourceTaxonomy=Info_and_Services%24D%24Checkin%24D%24Web_Checkin#lh-contacts-pane1,,18.05.18: Daten gem. Mail aktualisiert,approved,2017-05-31T13:24:43.123+02:00,2018-05-18T11:38:42.468+02:00,manual,Kundenkarten,lufthansa,2018-05-18T11:36:12.535+02:00,bdsg34,Datenschutzbeauftragte (FRA CY),,,,[4]
146,DeutschlandCard GmbH,Neumarkter Strasse 22,81673,München,,http://www.deutschlandcard.de/,,08941141150,"""Über 2 Millionen Verbraucher nutzen die DeutschlandCard[3] bis jetzt. Im Januar 2010 hatte die DeutschlandCard mehr als 6,0 Millionen aktive Teilnehmer.[4] Herausgeber ist die DeutschlandCard GmbH, ein Tochterunternehmen der arvato AG, mit Sitz in München.""
https://de.wikimedia.org/wiki/DeutschlandCard",approved,2011-08-30T11:46:59.000+02:00,2017-03-23T10:43:24.150+01:00,fax,Kundenkarten,,2011-08-30T11:46:59.000+02:00,bdsg34,,,,,[4]
630,Miles & More GmbH,Unterschweinstiege 8,60549,Frankfurt,Datenschutz@milesandmore.com,https://www.miles-and-more.com/,https://www.miles-and-more.com/online/portal/mam/de/general_information?nodeid=2490757&l=de&cid=18002,,18.05.18: Daten gem. Mail aktualisiert,approved,2012-02-24T13:14:55.000+01:00,2018-05-18T11:38:58.972+02:00,manual,Kundenkarten,miles-and-more,2012-02-24T20:26:50.000+01:00,bdsg34,Datenschutzkoordinator (MP/LE),,,,[4]
139,PAYBACK Rabattverein e.V.,Theresienhöhe 12,80339,München,,http://www.payback.de/,http://www.payback.de/pb/impressum/id/1890/,089997410,,approved,2011-08-19T15:55:44.000+02:00,2012-02-24T01:31:28.000+01:00,fax,Kundenkarten,,2011-08-19T15:55:44.000+02:00,bdsg34,,,,,[4]
875,Shell Deutschland Oil GmbH (Shell CLUBSMART),Suhrenkamp 71 - 77,22335,Hamburg,info.de@clubsmartservice.de,https://www.shellsmart.com/smart/index.html?site=de-de,https://www.shellsmart.com/smart/contact.html?site=de-de,01805260262,,approved,2012-10-08T02:15:38.000+02:00,2013-05-28T11:57:05.000+02:00,fax,Kundenkarten,shell,2013-05-28T11:57:05.000+02:00,bdsg34,,,,,[4]
148,Studentenwerk Bremen (MensaCard),Bibliothekstraße 3,28359,Bremen,,http://www.studentenwerk.bremen.de/,http://www.studentenwerk.bremen.de/files/main_info/impressum/impressum_main.php,0421022010,"Sammelt mit der MensaCard Daten über die Essgewohnheiten der Studenten, die mit der Person verknüpft bleiben.",blocked,2011-08-30T12:01:35.000+02:00,2012-02-22T17:13:14.000+01:00,,Kundenkarten,,,bdsg34,,,,,[4]
1204,topbonus Ltd. (airberlin),Saatwinkler Damm 42-43,13627,Berlin,,http://www.airberlin.de,http://www.airberlin.com/de-DE/site/impressum.php,03034343434,,approved,2014-02-18T19:00:05.000+01:00,2015-04-28T12:03:16.000+02:00,fax,Kundenkarten,topbonus,2015-04-28T11:53:58.000+02:00,bdsg34,,,,,[4]
