id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
664,1&1 Internet AG,Elgendorfer Str. 57,56410,Montabaur,datenschutz@1und1.de,,,,,approved,2012-02-28T13:32:13.000+01:00,2012-02-28T17:55:30.000+01:00,fax,Provider,1-und-1,2012-02-28T17:55:30.000+01:00,bdsg34,,,,,[10]
872,blau Mobilfunk GmbH,Neuer Steinweg 28,20459,Hamburg,kontakt@blau.de,https://www.blau.de,https://www.blau.de/hilfe/kontakt,01805660016,"06.04.16: die ""blau Mobilfunk GmbH"" lautet akt. auf:
""Telefónica Germany GmbH & Co. OHG""
",blocked,2012-10-08T01:26:58.000+02:00,2016-04-06T14:50:55.000+02:00,,Provider,blau-mobilfunk,2013-06-02T22:48:30.000+02:00,bdsg34,,,,,[10]
919,congstar GmbH,Postfach 1165 ,61466,Kronberg,datenschutz@congstar.de,,http://www.congstar.de/ueber-uns/kontakt/,,Datenschutzbeauftrager: Herrn Dr. Ulmer,approved,2013-01-05T15:21:44.000+01:00,2013-05-26T23:00:19.000+02:00,fax,Provider,congstar,2013-05-26T23:00:19.000+02:00,bdsg34,,,,,[10]
692,Drillisch Telecom GmbH (ehem. simply Communication GmbH),Wilhelm-Röntgen-Straße 1-5,63477,Maintal,kontakt@simplytel.de,http://www.simplytel.de,http://www.simplytel.de/impressum.htm,061814123,"24.10.2012: ehem. ""simply Communication GmbH"" aktualisiert in: ""Drillisch Telecom GmbH""; siehe: http://www.simplytel.de/index.php?page=impressum",approved,2012-03-02T16:29:41.000+01:00,2012-10-24T10:45:28.000+02:00,fax,Provider,simply,2012-03-03T20:20:46.000+01:00,bdsg34,,,,,[10]
629,E-Plus Service GmbH & Co.KG,E-Plus-Strasse 1,40472,Düsseldorf,datenschutz@eplus.de,http://www.eplus-gruppe.de,http://www.eplus-gruppe.de/Datenschutz/Datenschutz.asp,,,approved,2012-02-24T13:09:04.000+01:00,2012-02-28T17:55:56.000+01:00,fax,Provider,e-plus,2012-02-28T16:55:08.000+01:00,bdsg34,,,,,[10]
997,EWE TEL GmbH,Cloppenburger Str. 310,26133,Oldenburg,,http://www.ewe.de/,http://www.ewe.de/kontakt-pk.php,08003932000,,approved,2013-06-01T15:02:43.000+02:00,2013-06-01T15:03:04.000+02:00,fax,Provider,ewe-tel,2013-06-01T15:03:04.000+02:00,bdsg34,,,,,[10]
650,FONIC GmbH,Postfach 1038,90001,Nürnberg,service@fonic.de,http://www.fonic.de,http://www.fonic.de/html/impressum.html,01805880488,,approved,2012-02-27T00:23:42.000+01:00,2012-03-01T11:31:34.000+01:00,fax,Provider,fonic,2012-03-01T11:31:34.000+01:00,bdsg34,,,,,[10]
691,Kabel BW GmbH,Im Breitspiel 2-4 ,69126,Heidelberg ,kundenservice@kabelbw.de,https://www.kabelbw.de/,,062213330,"Kommentar zum Vorschlag des Unternehmens: ""ich arbeitete selber bei KabelBW bis Nov11 im Support und habe mitbekommen, wie Kunden sich reihenweise telefonisch beschwert haben, warum sie wieder Email, Werbung, etc. erhalten obwohl sie 'nie' Ihre Zustimmung gegeben habe bzw. auch dieser Schriftlich wiedersprochen haben. Mir kommt es vor als würde KabelBW Daten weitergeben.""",approved,2012-03-02T12:51:03.000+01:00,2012-03-03T05:30:15.000+01:00,fax,Provider,kabel-bw,2012-03-02T19:58:58.000+01:00,bdsg34,,,,,[10]
695,Kabel Deutschland Vertrieb und Service GmbH,Betastraße 6 - 8,85774,Unterföhring,,http://www.kabeldeutschland.com/,http://www.kabeldeutschland.com/de/investor-relations/service/ansprechpartner.html,08002787000,,approved,2012-03-03T05:34:20.000+01:00,2012-03-03T05:38:25.000+01:00,fax,Provider,kabel-deutschland,2012-03-03T05:38:25.000+01:00,bdsg34,,,,,[10]
718,mobilcom-debitel GmbH ,Hollerstraße 126 ,24782,Büdelsdorf,,http://www.mobilcom-debitel.de/,https://www2.mobilcom-debitel.de/kontakt/kontakt/start,,"Impressum mit Anschrift: https://www.mobilcom-debitel.de/kontakt/impressum/index.php

Kommentar zum Vorschlag: ""Mobilfunk-Provider, hat bei mir vergessen, das Vertragsende an die Schufa zu melden.""",approved,2012-03-04T18:36:07.000+01:00,2013-07-01T10:35:06.000+02:00,fax,Provider,mobilcom-debitel,2012-03-04T22:49:13.000+01:00,bdsg34,,,,,[10]
