id,name,street,pcode,city,email,url,contact_url,phone,comment,state,created_at,updated_at,mailing_mode,cached_tag_list,slug,approved_at,inquiry_kind,department,objection_kind,gv_numer,gv_number,tag_ids
909,Aachener Bausparkasse AG,Theaterstraße 92 - 94,52062,Aachen,service@aachener-bausparkasse.de,http://www.aachener-bausparkasse.de,http://www.aachener-bausparkasse.de/impressum/,02414360,,approved,2012-11-28T11:00:21.000+01:00,2013-07-24T02:03:02.000+02:00,fax,Versicherungen,aachener-bausparkasse,2013-07-24T02:03:02.000+02:00,bdsg34,,,,,[8]
886,AFA AG,Lieberoser Straße 7,03046,Cottbus,centrale@afa-ag.de,http://www.afa-ag.de,http://www.afa-ag.de/ueber-uns.html,0355381090,"Unglaublich, wie Amateurhaft die sog. ""Vertreter"" mit den Daten umgehen. Nicht nur das, auch gibt es quasi keine Auskunft.
",approved,2012-10-31T17:55:35.000+01:00,2012-11-05T21:11:07.000+01:00,fax,Versicherungen,afa,2012-11-05T21:11:07.000+01:00,bdsg34,,,,,[8]
191,Allianz Lebensversicherungs-AG,-,10850,Berlin,krankenversicherung@allianz.de,https://www.allianz.de/produkte/altersvorsorge/lebensversicherung/,https://kundenservice.allianz.de/res/online_verwalten/zentrale_telefonnummern_und_adressen/index.html?clusterid=tab-1-2-3,,"08.02.2013: eine Bearbeitung erfolgt ausschließlich unter Angabe einer ""Versicherungs""-, oder ""Schadennummer"".",approved,2012-02-22T17:21:41.000+01:00,2013-02-08T10:57:41.000+01:00,fax,Versicherungen,allianz-lebensversicherung,2012-02-22T17:21:41.000+01:00,bdsg34,,,,,[8]
190,Allianz Private Krankenversicherungs-AG,-,10870,Berlin,krankenversicherung@allianz.de,https://www.allianz.de/produkte/krankenversicherung/,https://kundenservice.allianz.de/res/online_verwalten/zentrale_telefonnummern_und_adressen/index.html?clusterid=tab-1-2-3,,"08.02.2013: eine Bearbeitung erfolgt ausschließlich unter Angabe einer ""Versicherungs""-, oder ""Schadennummer"".",approved,2012-02-22T17:21:03.000+01:00,2013-02-08T10:57:34.000+01:00,fax,Versicherungen,allianz-krankenversicherung,2012-02-22T17:21:03.000+01:00,bdsg34,,,,,[8]
192,Allianz Versicherungs-AG,-,10900,Berlin,sachversicherung@allianz.de,https://www.allianz.de/,https://kundenservice.allianz.de/res/online_verwalten/zentrale_telefonnummern_und_adressen/index.html?clusterid=tab-1-2-3,,"Kfz-, Sach-, Haftpflicht- Unfall- oder Rechtsschutzversicherung

08.02.2013: eine Bearbeitung erfolgt ausschließlich unter Angabe einer ""Versicherungs""-, oder ""Schadennummer"".",approved,2012-02-22T17:21:50.000+01:00,2013-02-08T10:57:28.000+01:00,fax,Versicherungen,allianz-versicherung,2012-02-22T17:21:50.000+01:00,bdsg34,,,,,[8]
969,AOK Baden-Württemberg,Presselstraße 19,70191,Stuttgart,info@bw.aok.de,http://www.aok.de/baden-wuerttemberg/index.php,http://www.aok.de/baden-wuerttemberg/impressum-72792.php,071125930,,approved,2013-05-07T22:43:29.000+02:00,2013-05-07T22:43:29.000+02:00,fax,Versicherungen,aok-baden-wuerttemberg,2013-05-07T22:43:29.000+02:00,bdsg34,,,,,[8]
970,AOK Bayern,Carl-Wery-Straße 28,81739,München,,http://www.aok.de/bayern/index.php,http://www.aok.de/baden-wuerttemberg/index.php,08002246465,,approved,2013-05-07T22:43:29.000+02:00,2013-05-07T22:43:29.000+02:00,fax,Versicherungen,aok-bayern,2013-05-07T22:43:29.000+02:00,bdsg34,,,,,[8]
971,AOK Bremen/Bremerhaven,Bürgermeister-Smidt-Str. 95,28195,Bremen,info@hb.aok.de,http://www.aok.de/bremen/index.php,http://www.aok.de/bremen/impressum-76186.php,042117610,,approved,2013-05-07T22:43:29.000+02:00,2013-05-07T22:43:29.000+02:00,fax,Versicherungen,aok-bremen-bremerhaven,2013-05-07T22:43:29.000+02:00,bdsg34,,,,,[8]
972,AOK Hessen,Basler Str. 2,61352,Bad Homburg,service@he.aok.de,http://www.aok.de/hessen/index.php,http://www.aok.de/hessen/impressum-76181.php,064049242000,,approved,2013-05-07T22:43:29.000+02:00,2013-05-07T22:43:29.000+02:00,fax,Versicherungen,aok-hessen,2013-05-07T22:43:29.000+02:00,bdsg34,,,,,[8]
973,AOK Niedersachsen,Hildesheimer Straße 273,30519,Hannover,AOK.Niedersachsen@nds.aok.de,http://www.aok.de/niedersachsen/index.php,http://www.aok.de/niedersachsen/impressum-76169.php,051187010,,approved,2013-05-07T22:43:29.000+02:00,2013-05-07T22:43:29.000+02:00,fax,Versicherungen,aok-niedersachsen,2013-05-07T22:43:29.000+02:00,bdsg34,,,,,[8]
